col0,col1,col2,col3,col4,col5,col6,col7,col8,is_centroid
32.69890,30.92345,31.86114,31.84668,6.63509,4.38967,28.87158,38.37751,43.71923,0
37.51541,5.15192,11.44207,0.87838,12.57625,38.01844,49.23079,1.26848,44.39420,0
49.88546,28.52958,21.21662,27.05586,31.40084,13.91170,15.53159,16.92196,27.49942,0
9.23127,23.46629,12.92465,31.61952,15.29439,46.14787,19.70876,0.65588,33.39392,0
0.23429,22.55176,30.68419,23.84707,5.86564,27.07933,45.01802,26.95183,34.06447,0
28.24876,27.69141,24.65373,29.59568,20.87948,21.90991,16.42645,22.87901,0.59320,0
35.29095,29.23325,8.69560,33.49840,28.14337,5.57712,4.89531,33.57993,39.01391,0
45.00638,47.19509,23.26264,24.79100,21.12348,46.69180,3.49700,15.84721,46.19179,0
36.59462,26.82380,2.01065,23.02191,23.48927,34.15657,14.20024,41.74021,33.28588,0
44.16556,1.17028,11.08969,5.47839,40.09627,24.33972,48.22538,41.17614,7.24148,0
44.97861,23.72596,1.96286,30.42692,37.43296,15.43127,32.57998,5.14505,15.06402,0
27.39786,41.31427,14.05286,8.23892,37.05291,27.76519,31.56147,37.78546,21.51039,0
15.71513,5.62364,19.56149,39.26893,46.41649,1.75070,23.85969,31.64481,3.66017,0
6.01602,1.93618,43.72300,38.56030,22.06289,27.64750,20.73155,31.56257,23.75359,0
39.33010,16.82316,5.82311,0.45703,46.13725,2.23677,21.93231,38.06949,21.36992,0
3.51189,21.39037,1.99289,34.81900,24.87007,49.20062,11.73658,1.14472,34.13807,0
2.76151,11.85727,10.93201,33.48487,27.44477,21.48189,1.26348,22.98099,13.26515,0
11.35972,39.33396,8.99518,12.46244,4.74418,39.88859,40.79179,49.69744,26.43196,0
11.32021,42.53274,31.07735,18.07315,29.39749,43.56935,1.18250,18.46545,17.19400,0
22.25722,48.81261,47.78063,11.02378,46.81744,9.35976,45.93980,49.18801,21.65541,0
9.15450,45.52968,12.37485,32.75691,40.31079,36.43434,28.79740,4.81270,49.66565,0
7.12193,4.45833,43.19502,47.76545,22.11484,5.56088,43.90349,2.75593,2.55541,0
32.09359,33.75901,42.65379,45.39821,34.55100,43.80362,0.34787,13.49258,0.35313,0
10.23378,47.59726,36.13718,22.71567,21.92830,1.61112,41.85910,43.69834,46.10703,0
36.21546,33.54533,12.62331,24.80380,14.13166,36.71194,47.24387,49.49842,20.42373,0
4.28506,29.82602,4.46549,24.34244,17.20298,44.78811,28.77167,46.69116,3.06864,0
4.93784,12.13829,5.34617,48.77198,16.82006,1.26346,19.67254,36.26442,38.15430,0
9.01820,19.96177,46.65935,11.45422,44.51398,18.37227,40.78722,8.61095,3.30638,0
29.63363,43.03672,2.21391,29.87983,30.59418,17.64078,11.37862,22.45417,44.96830,0
23.19779,15.11511,49.24282,23.68922,1.04695,27.50781,1.09683,45.78269,22.68573,0
26.66742,44.81677,32.24084,44.49909,25.78191,41.29662,21.04900,6.44062,3.40642,0
24.93223,40.46988,23.64387,4.82555,34.52965,44.65025,35.40605,39.08049,20.20153,0
17.76304,35.57386,31.92859,0.90572,9.80979,35.02184,10.64453,41.91515,22.73693,0
44.60630,29.51115,18.23238,38.52615,21.76814,46.30105,10.65550,1.71293,12.07990,0
30.03781,43.91596,22.22880,8.39135,11.41935,7.32013,0.40671,33.63171,12.97571,0
14.76390,29.52495,33.65285,28.58863,38.67308,26.98052,36.40746,11.68315,11.57239,0
28.37680,32.06871,41.43178,49.41812,40.14939,47.74037,42.94832,18.02410,48.54696,0
27.76735,11.14229,40.52419,13.63949,33.91824,39.89762,34.36790,9.50667,0.78776,0
8.03547,14.30812,45.60475,40.96720,34.20529,18.30752,14.36867,24.56867,46.25743,0
42.05348,18.00877,40.65157,18.81826,26.33101,5.06383,36.59407,33.25473,36.67887,0
48.85928,3.64925,46.40694,34.81959,12.44304,48.35653,1.24453,20.23122,0.73244,0
19.50323,48.02107,12.56518,43.57463,13.02718,0.48740,2.33184,27.35644,46.83362,0
32.83887,46.77199,30.85434,10.44676,26.41661,26.12125,47.45467,27.49866,39.49982,0
13.14291,27.96047,22.81239,41.67131,14.65027,46.65220,41.16560,27.63194,43.20929,0
28.67405,12.48974,22.01292,37.81882,14.88557,34.46153,30.28429,40.95127,12.27365,0
31.96015,40.83521,31.09936,30.72621,3.55359,43.54320,22.20458,20.31063,5.10898,0
21.69785,20.78439,22.77293,4.37511,27.91200,26.18989,41.09949,18.37559,6.50084,0
33.15177,46.21285,44.00279,31.85984,26.14491,12.57240,5.80364,15.79670,39.65697,0
1.17494,49.97619,6.82718,1.05508,35.39129,46.04028,38.17080,18.87500,5.60059,0
24.40348,21.98146,3.05461,29.75351,23.39364,35.41031,21.60764,44.46808,4.82431,foo
1.79435,31.65976,31.87239,49.86462,30.18367,40.77638,23.26546,43.10585,47.84788,0
45.00212,28.42837,19.91331,27.44366,21.27386,15.34352,49.12601,22.39325,10.80519,0
49.68202,40.72858,17.28946,23.53550,26.70365,34.78057,42.49230,40.97354,22.08106,0
25.94648,5.72097,9.13750,35.59737,32.10331,44.34500,48.20208,21.75034,9.96305,0
23.86544,34.18537,2.74145,3.49590,4.01184,31.11328,9.54904,13.66648,6.49826,0
35.53322,31.77118,21.22446,3.35789,44.35509,16.69332,22.20549,6.15826,1.75178,0
16.51814,32.75723,27.25183,15.03721,32.05362,25.52449,45.35333,13.42153,17.61892,0
43.74016,8.87572,38.83912,4.89923,30.91808,14.08275,0.54774,23.18591,0.95921,0
41.14302,11.48039,3.32176,20.12143,3.41021,12.88442,16.55750,46.43737,12.57995,0
14.27044,5.62833,46.53655,36.89846,27.80967,31.15473,46.49124,42.04505,23.23935,0
12.04958,18.45705,35.26192,1.37173,37.42936,17.32808,30.53809,8.54924,48.21400,0
24.81947,38.95536,40.42389,16.31166,24.17872,23.86146,40.05961,46.73542,32.35485,0
44.30804,33.11859,30.67065,27.66147,39.02134,3.13164,11.36729,16.40945,18.59817,0
46.47136,46.85761,25.46655,27.79377,1.17961,27.14027,37.10086,42.63376,13.38087,0
28.66017,18.38481,20.12933,0.83528,15.67665,35.73891,1.72327,41.03227,12.35078,bar
5.46125,41.20271,16.37133,23.53704,20.34932,35.28523,2.64981,43.45550,37.71408,0
36.33488,9.10162,14.07950,49.78114,35.39557,31.83164,17.32012,20.91819,30.55695,0
34.85307,15.24587,15.74361,49.06231,37.51911,3.35547,42.04355,39.98592,20.94107,0
16.79457,35.61170,33.39756,4.93575,33.67004,31.18235,8.92645,12.60755,16.71478,0
24.17932,47.88074,46.08317,31.35569,9.04522,23.95895,1.79316,1.27674,39.77211,0
46.40343,17.76663,39.23169,45.19840,22.25100,7.97729,9.58792,25.73218,44.63082,0
10.80377,33.44780,10.25418,43.46965,1.44380,29.42793,41.26246,24.18541,26.76925,0
21.25867,39.58003,18.49412,31.55210,34.52328,33.00602,3.27661,17.92680,35.07689,0
9.82872,43.98678,18.35201,34.72762,20.00520,42.36658,25.86058,17.57569,21.18577,0
13.44382,13.52257,46.15630,39.69293,37.43235,12.37280,41.81361,33.04035,23.18748,0
40.83713,6.20257,26.51824,39.64596,23.11841,31.96922,29.57965,4.47522,3.36900,0
22.59648,25.17170,10.53715,44.62979,38.11102,4.95847,30.46099,39.43075,8.88594,0
11.06417,0.84336,27.03040,1.53637,20.30839,35.37248,26.55825,14.72200,46.26561,0
42.42684,45.35376,26.88821,25.63388,28.97355,11.75546,28.71234,9.86381,37.44275,0
44.99920,21.69098,35.41928,47.00487,32.84614,41.40661,49.37006,11.19744,2.66295,0
30.90952,20.60440,34.89832,6.17133,37.13257,47.12015,10.76566,25.34703,22.36214,0
2.39839,14.53310,2.99437,38.52982,14.60480,5.31462,27.38821,22.06811,24.91286,0
6.39190,16.09670,4.28959,17.21522,26.98549,8.28698,19.42263,19.34482,32.08828,0
19.42062,13.65776,39.55802,44.44908,15.79907,39.67945,13.59394,17.04125,42.85661,0
23.70153,6.79734,45.49454,46.22243,14.54317,42.74872,30.71214,38.84785,46.93026,0
22.41460,25.22675,35.84831,17.69150,47.58611,39.79377,8.99196,7.24264,18.00181,0
34.26560,46.22321,9.49221,21.38511,36.54313,33.56927,7.92957,30.25149,17.63145,0
49.92477,6.85652,23.53735,11.34057,13.12903,18.01824,46.28523,1.01367,0.96270,0
40.88990,18.72043,10.56829,16.28812,11.18155,28.44487,30.70130,38.30223,16.62350,0
38.83461,40.57242,26.49370,10.97160,10.65747,27.23316,12.90856,42.82308,14.34307,0
18.00764,12.36161,46.55146,22.15126,11.53800,36.04891,17.27446,6.36614,8.27312,0
7.06116,7.26275,35.99582,34.81652,23.10364,27.40413,30.59194,46.77338,23.40565,0
41.15478,43.85001,4.31191,3.92697,8.44791,20.80819,1.74039,16.15753,47.40869,0
29.49557,6.70781,1.50806,11.40960,40.91719,5.88756,31.33678,13.44706,14.16382,0
8.32519,41.63274,47.17368,25.89225,49.87669,49.46616,16.65933,47.57864,12.41745,0
28.84877,49.99944,20.65779,9.82635,31.51025,25.00979,37.35175,21.73928,39.02847,0
15.63980,33.89920,21.79020,34.15816,18.32648,36.86867,38.64718,45.21908,42.99685,0
41.73861,17.03080,12.26001,40.67436,27.31706,34.84671,14.15081,6.04898,39.60173,0
1.48864,24.97836,37.07188,38.54675,15.66288,32.25706,39.43138,30.78668,23.85512,0
35.77619,29.19153,4.05874,35.36980,19.30723,39.50461,44.62646,18.35855,14.22872,0
3.67694,30.37596,19.93711,12.78603,14.20887,12.81695,36.03015,32.06047,10.90410,0
42.98650,9.38815,46.25131,25.98474,22.18095,26.38800,25.44115,4.09372,49.73245,0
30.61119,31.26675,47.13775,17.56680,47.92683,13.01147,32.00424,33.84764,11.07861,0
21.43032,29.21489,38.25899,46.91246,2.06887,6.34187,36.37189,1.88236,39.27407,0
6.87086,41.53459,34.86126,8.79144,3.91587,13.53554,16.19168,41.06031,38.47621,0
45.95315,27.18448,9.30057,5.39463,33.59844,2.43833,29.77634,45.60747,3.78381,0
5.20370,28.74280,9.13157,2.85337,32.97410,12.49344,19.90691,44.76764,27.17017,0
25.69138,32.28346,43.06708,9.46608,6.13440,46.19748,32.02555,21.08682,48.00326,0
29.30283,44.42015,36.72342,49.36389,7.78787,31.09190,33.08817,1.49016,4.69634,0
29.06107,29.05228,11.35638,39.25814,44.88628,46.06752,43.72217,34.91902,0.63057,0
14.67761,40.21029,43.74988,22.12870,29.99974,9.60086,24.75820,2.80337,13.29413,0
48.16246,45.99871,10.04507,4.41745,32.14165,43.81597,19.74780,39.51030,39.06411,0
14.78932,49.03241,36.56720,3.46068,36.74299,34.54199,44.28810,10.07934,10.70685,0
9.63164,25.00417,43.58491,48.56635,15.01958,2.16543,21.80688,36.54292,9.90199,0
10.77278,25.55016,46.66187,42.47446,23.98717,28.92379,5.11964,18.26208,36.61563,0
40.85578,38.88125,15.72102,37.86655,5.55751,35.86071,34.10811,39.89765,5.96837,0
37.15926,17.50676,8.10610,32.89845,15.35303,27.79741,12.68567,38.25019,30.63673,0
15.34264,11.58669,43.91303,21.28272,23.82105,11.79922,33.85222,28.65891,14.31090,0
36.45319,41.18928,1.88010,10.55362,30.22819,28.20637,47.56737,48.78484,3.13707,0
38.92285,48.49345,31.27676,15.41062,28.81967,49.64426,41.46480,14.08484,11.64791,0
23.14388,49.33815,7.02480,45.28399,42.62221,2.56464,0.84995,20.04080,25.58375,0
49.90891,21.85822,30.28076,25.24075,8.67052,6.00581,19.06212,5.22195,34.11387,0
40.60097,46.78673,24.29940,3.74046,20.39997,38.16419,36.41393,45.34222,44.20186,0
11.36338,8.55282,8.91315,16.24734,49.30123,45.19353,21.45096,0.95530,23.36563,0
46.48690,28.45963,47.15434,16.22127,22.27900,24.91889,19.38334,12.26329,38.57650,0
7.61997,47.55716,42.43201,43.20039,38.50107,29.69751,23.46203,24.56672,21.20419,0
6.39184,40.05607,29.79555,21.22294,32.85155,39.77280,27.16157,13.38368,23.87712,0
42.40607,43.89141,32.40818,18.10973,45.00866,49.79020,17.56557,13.82417,29.13342,0
21.84954,9.13856,18.30478,18.70506,47.15233,11.07493,21.09805,31.35999,39.23074,0
6.69310,44.86828,45.63561,35.71229,0.41440,13.16549,3.73335,43.05421,32.58955,0
43.71402,25.38596,30.43164,45.66930,19.39661,38.32936,26.09919,17.35422,6.31447,0
34.59805,20.65517,11.34603,12.35262,3.45031,46.54654,19.08337,6.83841,23.81970,0
27.24099,27.14586,2.44949,6.16954,46.16961,10.03394,20.22710,7.43544,33.79829,0
29.21333,47.49781,13.85949,23.34565,18.06722,35.53561,3.28232,23.16112,7.75567,0
25.63478,7.76016,2.70203,3.35790,0.51185,37.76525,40.03412,24.13584,2.13579,0
46.45038,37.70814,10.97142,35.36979,33.36559,32.38520,41.86268,5.90633,44.02025,0
38.03843,36.97062,32.35985,24.61668,10.98028,48.17261,22.85925,24.30407,45.22147,0
15.66997,26.43597,21.62461,40.68654,24.33610,0.41179,32.38254,24.11611,1.46887,0
4.92913,28.83660,22.88693,21.37336,14.75068,30.01051,27.27211,10.80432,21.98538,0
8.54800,44.88759,3.30461,8.97371,12.59369,39.34469,7.44022,27.83209,7.54881,0
35.37456,9.57838,21.74962,14.02809,21.52487,6.15297,18.47302,16.67510,17.89523,0
17.90112,35.63356,19.78814,1.57224,37.97621,29.40977,29.50961,2.76447,15.11400,0
19.74933,25.81229,33.62356,37.15660,41.57796,5.19102,22.52131,36.38045,25.11351,0
49.72983,33.97771,31.02441,46.76698,41.18478,24.47953,18.10123,46.41228,3.70841,0
11.51586,23.58979,0.16404,39.27089,12.28231,24.61847,27.89545,23.06435,18.07302,0
29.00482,14.51980,9.97710,3.59853,10.30470,7.35836,10.90218,10.82905,3.42931,shazam
19.18060,1.75381,13.66906,15.99529,25.60393,13.33578,6.66823,19.28399,0.42634,0
45.33530,6.72990,6.73754,4.20376,19.68798,20.66954,45.15256,49.90855,39.46283,0
12.25303,2.79402,1.89644,26.50577,36.45468,7.90778,36.63730,1.81803,43.22740,0
42.49014,40.31234,13.17340,14.59613,23.40755,37.90687,40.18423,21.98445,21.79596,0
46.76231,14.21916,35.14375,49.34023,24.15861,46.27963,13.44630,45.05344,7.17124,0
17.20000,39.57656,33.40205,0.63680,33.32129,47.43498,16.42375,45.60625,28.05318,0
0.87555,7.07339,44.49868,14.18966,13.16523,4.01242,17.59274,3.00318,45.74308,0
48.73036,3.89273,4.68098,13.24055,15.22158,25.54830,22.35028,13.97793,38.26407,0
8.49923,2.30042,28.41478,36.91932,6.82759,22.69312,27.15039,14.41425,39.97915,0
15.89214,35.67134,29.82999,20.73106,30.77860,21.24040,31.25125,20.68783,18.62686,0
8.24464,29.44152,39.25218,42.32169,14.65381,42.17091,39.27267,10.91785,39.55457,0
44.72402,3.97144,30.82531,27.24318,20.73267,24.87950,34.67897,22.69146,26.07679,baz
40.75603,26.30516,15.55965,46.30742,44.89729,28.65161,42.81136,43.33684,36.93369,0
2.70926,2.45880,23.24486,27.96906,22.70972,26.97059,44.31162,18.70859,6.37093,0
28.30481,13.34576,13.96958,5.69026,43.12834,1.32061,18.72977,35.77454,48.32020,0
49.70020,15.13936,5.16155,30.31189,27.80357,35.92789,37.09023,20.81602,6.60161,0
42.02260,38.50762,14.39052,20.23914,27.91517,47.91475,14.23509,18.32474,26.04033,0
48.43025,34.94734,6.97263,6.26090,31.40748,31.24959,10.81045,24.25629,17.65165,0
31.23354,24.29080,10.11124,47.54150,10.63156,43.03717,10.38712,34.02035,39.65995,0
24.54256,25.31962,1.14502,39.81371,29.25987,46.81281,21.19468,29.24883,24.69423,0
22.33266,31.96361,2.31727,24.40300,29.22637,7.31518,45.56670,24.13615,0.49156,0
44.09379,9.22702,22.91404,48.66287,0.97839,45.27078,10.31202,11.27726,43.58560,0
31.06021,0.93184,26.97315,13.70637,21.41653,47.25442,23.44607,49.67066,15.27818,0
22.86238,41.31696,25.47110,26.56914,22.87123,0.67290,12.13816,33.51791,8.49973,0
33.62180,39.13906,37.90932,33.93065,40.90702,21.04771,18.21461,20.33453,14.80046,0
17.14916,31.43814,5.45473,17.61976,2.68733,3.43582,13.85656,17.72255,12.10173,0
17.70607,17.69052,4.97355,4.65072,19.64757,44.15137,34.51237,12.63603,21.51815,0
49.90951,19.07753,21.62168,12.22603,1.67590,46.86692,39.90350,29.17803,6.60485,0
35.73985,36.64267,36.79185,25.39332,35.67743,1.27327,29.99633,20.58610,14.27564,0
27.45270,20.09307,34.26273,27.09373,45.48201,14.56081,19.68863,16.79839,25.00514,0
13.61175,1.75714,24.79154,38.23344,8.48896,18.76758,20.13746,7.24318,43.45277,0
43.24663,34.84051,10.52568,38.56740,45.75649,38.98112,15.39864,30.76386,20.90732,0
29.19098,22.93859,16.04718,38.80410,5.33693,46.93395,21.33444,37.10149,14.29774,0
12.58870,5.71337,26.63224,12.19214,34.90325,45.07382,14.07199,14.93233,33.05994,0
38.33275,7.78695,0.82631,9.80263,23.93729,18.28302,5.05243,17.31189,26.58889,0
7.70581,30.42860,40.57792,13.55998,38.74004,1.47242,29.61873,46.13357,12.42552,0
40.10194,13.89384,37.60572,3.04344,46.95015,45.09022,14.58989,25.25552,16.21613,0
41.69358,18.44975,17.63944,15.67489,35.37719,16.74148,44.33165,6.27482,34.03842,0
37.22919,4.10032,22.27002,9.29931,40.34422,10.33587,37.83341,44.46097,31.75202,0
0.61401,33.08457,2.87348,25.33255,11.48725,34.60743,41.79905,25.88971,27.00156,0
46.53649,9.70985,19.08140,22.80851,38.68214,12.18217,41.24389,11.65646,49.01390,0
41.57867,43.38826,40.59120,42.59479,5.34339,6.47694,26.97573,2.05112,9.47319,0
34.72003,43.30813,31.76300,40.62650,23.72733,29.77075,35.68157,34.67259,42.87584,0
27.76323,11.25918,14.23006,49.39637,34.08282,10.07647,45.37806,12.25528,48.09344,0
12.52734,34.89979,9.14223,4.82223,7.17904,0.84808,30.10562,29.74420,7.54134,0
31.62271,18.28748,18.50535,17.94962,45.71458,23.84448,3.12090,49.39792,26.15664,0
16.74650,4.24594,0.59064,12.64465,36.96312,28.61355,5.53208,27.29604,1.36069,0
1.73997,23.92677,12.04344,41.43987,37.15245,6.04715,27.40847,46.68952,25.45813,0
36.08006,43.79536,13.52204,5.60425,23.04601,26.85973,14.04384,14.39510,47.42351,0
38.09440,43.63249,11.74251,1.64639,44.63650,1.19629,38.71993,18.94279,47.56964,0
41.92483,11.24381,22.96443,1.07765,9.18612,27.73248,8.90836,48.73751,4.69403,0
7.55620,48.84489,9.75518,21.38491,36.08854,27.60572,37.58851,1.74994,3.78591,0
39.80203,27.06210,36.11200,43.53271,17.72563,49.97985,28.88769,47.30942,15.85788,0
43.56917,16.60972,1.71561,4.87371,32.84971,1.21971,10.82282,31.43938,7.92349,0
25.71409,3.90326,16.76120,7.10078,5.78067,39.41040,4.31249,2.32367,30.77372,0
8.71795,26.74194,28.93095,24.86979,22.65829,31.12018,4.02462,10.53319,25.57501,0
5.12886,32.22735,14.00949,35.80748,26.17023,40.58961,16.62668,45.86269,36.86607,0
22.89452,36.95521,10.06087,40.41021,33.92496,24.57391,31.04339,33.64330,11.87324,0
40.67110,31.60072,44.45671,6.55761,17.09053,27.44499,45.61205,17.07708,7.74733,0
39.57758,43.57905,7.96632,49.18427,9.35381,47.35868,38.69175,24.61900,15.29659,0
1.93531,19.40552,46.30945,25.61195,33.94637,27.20965,42.84702,37.03858,47.73265,0
43.05396,48.13427,13.10133,23.07306,21.99300,43.86450,33.81384,23.34210,21.57397,0
20.56526,19.56699,30.41234,8.43945,45.09830,4.34503,7.37009,1.16481,47.39246,0
0.16242,21.34451,20.38427,32.00464,0.20212,16.58032,48.73523,26.62781,37.75605,0
35.75264,35.27700,12.49809,19.08299,12.16210,10.28405,2.80378,40.26301,6.92378,0
1.71552,30.85126,24.66569,19.13587,16.42153,10.47715,45.51245,47.90683,49.99013,0
42.42842,37.23065,21.01512,3.74894,16.27994,38.29447,24.53294,11.57632,46.37731,0
7.93704,17.61121,12.51565,26.70701,21.33766,28.20581,35.32649,31.58893,27.16764,0
45.13916,3.82329,3.87114,19.51454,27.12371,16.21270,38.61923,47.54545,21.37074,0
33.47627,37.53411,31.91251,13.19938,12.44887,34.16895,33.93546,38.07265,12.80771,0
18.04748,11.03974,37.54749,16.33532,29.82926,19.67039,41.80769,18.34656,15.03512,0
15.49601,2.88853,0.29578,1.36020,28.52543,46.35389,48.18611,0.63416,4.10533,0
18.65804,33.37704,40.24080,26.32299,30.46431,13.66739,23.30990,16.56892,10.72119,0
47.21686,20.87847,2.28284,40.69743,42.70322,26.03827,19.44254,44.03031,5.42462,0
20.68405,10.79968,38.83904,10.56884,37.91807,11.14072,13.85669,13.53996,19.77246,0
41.95164,30.46087,22.60016,26.95850,17.82265,26.83554,28.61946,33.94643,24.41892,0
18.61857,36.20081,29.05189,36.29615,43.68611,13.03980,40.75275,7.66798,37.92310,0
20.80065,12.67985,3.68373,15.04588,26.62555,25.65164,21.01808,15.64763,4.56416,0
0.02929,4.10140,30.95446,37.94382,26.71484,15.01066,41.39836,45.81102,22.64728,0
28.67551,39.37019,46.78301,10.46473,4.48257,8.33670,28.39084,28.53701,7.52205,0
40.42224,43.00016,32.38411,26.36724,3.99816,28.53467,17.61660,48.60298,4.71463,0
29.27136,25.00941,46.39975,11.23669,20.15095,15.57065,28.18591,49.80683,22.96690,0
41.92431,46.30264,12.42087,45.05568,12.08888,21.44949,28.05285,25.47996,12.87440,0
2.51955,35.93225,14.56490,2.55005,40.06166,0.78237,27.31788,27.40541,29.70903,0
41.56657,12.09488,14.60002,42.96370,18.27098,24.48538,36.25234,20.03355,43.78251,0
12.42806,24.80771,28.09064,44.48012,46.53624,29.19004,1.06044,18.65586,48.33331,0
23.61330,7.22363,0.70124,49.47702,32.61670,6.86874,31.15343,21.67117,28.10907,0
8.14418,46.07800,48.54259,38.61078,49.71621,27.04864,13.42414,27.79194,22.25099,0
42.83032,35.64670,17.82133,27.46951,40.47203,23.46158,23.74607,33.60365,34.59744,0
17.64451,34.61613,21.03501,8.07098,8.45535,14.39463,1.82199,46.85251,16.91874,0
33.01222,48.13859,37.85088,7.25133,0.51877,49.33633,18.41509,28.77155,44.44403,0
27.76884,35.16055,12.61862,10.24751,8.55328,8.48949,9.65708,43.75725,49.50737,0
3.91198,21.74779,22.84632,12.84505,23.59903,29.83176,36.24240,23.97754,25.15753,0
16.56104,17.29174,29.59780,49.12897,17.28688,33.54753,27.32610,4.47425,6.54401,0
26.16192,44.58746,5.03942,40.11337,20.41126,14.42048,33.15575,16.71886,21.49503,0
34.54560,7.00087,14.34848,0.73720,5.39554,42.62304,23.23711,20.66759,33.07970,0
48.63652,31.63137,23.47403,4.23093,19.19527,14.51585,22.80853,12.79707,14.40983,0
38.61370,43.49415,20.14230,12.76770,0.39626,36.09178,16.23432,44.68257,11.97853,0
46.64340,41.15464,21.70475,3.57991,10.69232,47.56538,46.08649,4.89236,32.09043,0
26.99881,15.64987,27.29266,31.79640,14.05569,5.38217,18.90705,38.25929,39.20520,0
1.78296,24.45020,19.90330,8.24158,43.35950,2.58603,17.35870,48.09551,1.53736,0
28.72228,37.12865,42.99990,31.43731,5.38332,48.77901,9.25413,36.51727,24.37401,0
0.23410,20.63905,4.00333,21.60093,45.97228,19.30852,2.28424,37.15664,6.86941,0
28.10493,43.42692,17.19531,10.68901,41.33529,5.69825,49.61441,48.91681,39.02390,0
26.23211,43.89593,16.91958,16.01377,25.17486,20.01505,26.55687,12.49230,32.14866,0
8.69010,34.81533,44.27629,23.25232,5.36663,30.62222,34.88618,32.16773,35.54875,0
37.15079,13.43529,20.81665,13.20017,49.08474,18.14485,23.42323,0.76285,12.19929,0
44.48861,41.62887,38.74006,9.00729,25.18984,47.92294,29.16210,17.67709,6.45271,0
2.88280,49.50576,40.02085,31.57698,44.31242,4.73749,3.61670,29.17715,25.47245,0
7.66332,15.74234,32.60698,22.91565,20.82715,4.58717,41.25479,27.54341,11.42580,0
14.45782,37.46165,43.72755,6.45613,21.64336,40.97045,17.38215,4.34786,17.81794,0
49.52912,33.84911,23.42548,42.35541,33.32521,32.37453,7.14482,29.57577,26.02850,0
5.66312,36.90770,40.75607,32.63053,48.48088,23.79582,21.83732,23.66258,34.25853,0
6.19634,49.33730,26.94445,20.70830,9.31000,21.59365,38.00186,0.34849,19.91547,0
17.50845,46.25058,33.28456,24.93492,4.59032,28.91592,28.04187,46.29294,19.47385,0
37.01389,3.33348,31.94903,48.01450,29.84660,0.82585,31.84845,44.30837,0.68313,0
32.32710,0.45638,45.79190,32.76692,43.59436,17.73659,1.47771,14.66907,17.59306,0
33.08957,32.06847,35.52764,33.72951,1.99665,20.97305,39.09445,3.71491,45.81394,0
29.30081,46.60650,36.82605,10.37135,5.00194,33.83774,1.12396,1.43705,48.48608,0
28.76082,46.08100,36.40218,30.84488,32.60557,33.10573,25.16356,4.07077,9.85739,0
25.16438,30.89797,13.04731,42.74064,27.82672,15.68274,21.77702,8.73931,7.05583,0
19.69809,11.18835,2.67693,38.56481,29.41048,28.58011,20.48680,33.48224,35.46279,0
5.95352,35.36706,11.72973,18.02182,41.54374,5.90012,20.75709,7.94205,29.51804,0
